time,temperature_celsius
2017-01-01 00:00:00,24.805573
2017-01-01 01:00:00,24.963531
2017-01-01 02:00:00,24.845612
2017-01-01 03:00:00,24.40567
2017-01-01 04:00:00,23.683014
2017-01-01 05:00:00,23.316315
2017-01-01 06:00:00,22.936676
2017-01-01 07:00:00,22.565582
2017-01-01 08:00:00,22.677399
2017-01-01 09:00:00,22.781647
2017-01-01 10:00:00,25.05069
2017-01-01 11:00:00,26.541412
2017-01-01 12:00:00,27.096588
2017-01-01 13:00:00,28.411774
2017-01-01 14:00:00,28.872955
2017-01-01 15:00:00,32.203278
2017-01-01 16:00:00,32.53482
2017-01-01 17:00:00,33.589752
2017-01-01 18:00:00,33.54898
2017-01-01 19:00:00,30.774323
2017-01-01 20:00:00,30.615875
2017-01-01 21:00:00,29.506256
2017-01-01 22:00:00,26.90982
2017-01-01 23:00:00,26.28653
2017-01-02 00:00:00,25.735016
2017-01-02 01:00:00,25.34732
2017-01-02 02:00:00,26.099762
2017-01-02 03:00:00,24.066559
2017-01-02 04:00:00,23.99234
2017-01-02 05:00:00,23.910797
2017-01-02 06:00:00,23.465973
2017-01-02 07:00:00,22.39981
2017-01-02 08:00:00,22.55777
2017-01-02 09:00:00,22.456451
2017-01-02 10:00:00,24.28482
2017-01-02 11:00:00,24.723297
2017-01-02 12:00:00,25.261383
2017-01-02 13:00:00,25.90738
2017-01-02 14:00:00,26.721832
2017-01-02 15:00:00,30.588043
2017-01-02 16:00:00,30.867096
2017-01-02 17:00:00,31.155426
2017-01-02 18:00:00,31.68399
2017-01-02 19:00:00,32.89566
2017-01-02 20:00:00,33.049225
2017-01-02 21:00:00,30.403473
2017-01-02 22:00:00,28.045807
2017-01-02 23:00:00,27.183502
2017-01-03 00:00:00,26.556793
2017-01-03 01:00:00,26.234283
2017-01-03 02:00:00,25.902496
2017-01-03 03:00:00,24.674225
2017-01-03 04:00:00,24.322418
2017-01-03 05:00:00,23.839752
2017-01-03 06:00:00,23.773346
2017-01-03 07:00:00,23.719147
2017-01-03 08:00:00,23.759186
2017-01-03 09:00:00,23.435944
2017-01-03 10:00:00,26.575836
2017-01-03 11:00:00,26.859283
2017-01-03 12:00:00,27.784088
2017-01-03 13:00:00,29.195465
2017-01-03 14:00:00,29.810455
2017-01-03 15:00:00,34.130524
2017-01-03 16:00:00,35.092194
2017-01-03 17:00:00,35.833893
2017-01-03 18:00:00,34.54898
2017-01-03 19:00:00,32.614655
2017-01-03 20:00:00,32.19034
2017-01-03 21:00:00,27.707184
2017-01-03 22:00:00,26.892242
2017-01-03 23:00:00,26.136627
2017-01-04 00:00:00,25.863678
2017-01-04 01:00:00,25.964996
2017-01-04 02:00:00,25.74527
2017-01-04 03:00:00,24.561432
2017-01-04 04:00:00,24.219147
2017-01-04 05:00:00,24.105621
2017-01-04 06:00:00,23.701813
2017-01-04 07:00:00,23.639069
2017-01-04 08:00:00,23.30899
2017-01-04 09:00:00,23.521149
2017-01-04 10:00:00,26.210114
2017-01-04 11:00:00,26.67398
2017-01-04 12:00:00,27.657135
2017-01-04 13:00:00,28.837067
2017-01-04 14:00:00,29.142242
2017-01-04 15:00:00,30.037262
2017-01-04 16:00:00,31.09903
2017-01-04 17:00:00,31.003082
2017-01-04 18:00:00,31.454498
2017-01-04 19:00:00,31.486725
2017-01-04 20:00:00,29.130035
2017-01-04 21:00:00,27.295807
2017-01-04 22:00:00,27.314606
2017-01-04 23:00:00,26.369781
2017-01-05 00:00:00,26.360748
2017-01-05 01:00:00,27.04068
2017-01-05 02:00:00,26.455963
2017-01-05 03:00:00,25.98233
2017-01-05 04:00:00,24.60904
2017-01-05 05:00:00,24.251617
2017-01-05 06:00:00,24.15738
2017-01-05 07:00:00,24.227448
2017-01-05 08:00:00,23.698883
2017-01-05 09:00:00,23.731354
2017-01-05 10:00:00,24.08316
2017-01-05 11:00:00,24.427887
2017-01-05 12:00:00,24.715729
2017-01-05 13:00:00,25.231354
2017-01-05 14:00:00,25.74405
2017-01-05 15:00:00,28.839264
2017-01-05 16:00:00,28.87613
2017-01-05 17:00:00,29.513824
2017-01-05 18:00:00,30.21524
2017-01-05 19:00:00,30.564606
2017-01-05 20:00:00,30.9169
2017-01-05 21:00:00,30.234528
2017-01-05 22:00:00,27.341705
2017-01-05 23:00:00,27.17862
2017-01-06 00:00:00,27.192535
2017-01-06 01:00:00,26.759186
2017-01-06 02:00:00,26.377106
2017-01-06 03:00:00,25.479645
2017-01-06 04:00:00,25.052887
2017-01-06 05:00:00,24.01944
2017-01-06 06:00:00,23.565582
2017-01-06 07:00:00,23.990631
2017-01-06 08:00:00,23.947906
2017-01-06 09:00:00,23.807526
2017-01-06 10:00:00,26.88028
2017-01-06 11:00:00,27.973541
2017-01-06 12:00:00,28.751862
2017-01-06 13:00:00,29.268463
2017-01-06 14:00:00,29.812897
2017-01-06 15:00:00,33.588287
2017-01-06 16:00:00,33.09268
2017-01-06 17:00:00,32.933502
2017-01-06 18:00:00,31.609528
2017-01-06 19:00:00,30.858551
2017-01-06 20:00:00,30.742096
2017-01-06 21:00:00,27.819
2017-01-06 22:00:00,26.598053
2017-01-06 23:00:00,25.865875
2017-01-07 00:00:00,25.86148
2017-01-07 01:00:00,25.585846
2017-01-07 02:00:00,25.576813
2017-01-07 03:00:00,24.489166
2017-01-07 04:00:00,23.568512
2017-01-07 05:00:00,23.116608
2017-01-07 06:00:00,22.845123
2017-01-07 07:00:00,22.372467
2017-01-07 08:00:00,22.356842
2017-01-07 09:00:00,22.049469
2017-01-07 10:00:00,25.560211
